"","name","longitude","latitude","issues","prov","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","scientificName","kingdom","phylum","order","family","genus","genericName","specificEpithet","taxonRank","dateIdentified","coordinateUncertaintyInMeters","year","month","day","eventDate","modified","lastInterpreted","references","license","geodeticDatum","class","countryCode","country","rightsHolder","identifier","informationWithheld","verbatimEventDate","datasetName","gbifID","collectionCode","verbatimLocality","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identificationID","occurrenceRemarks","identificationRemarks"
"29","Accipiter striatus",-75.618694,39.733274,"cdround,gass84","gbif",1802764377,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:25:20.479+0000","2018-01-11T09:17:21.555+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-02T23:17:38.000+0000",258,2018,1,1,2018-01-01,"2018-01-02T23:51:17.000+0000","2018-02-02T17:13:19.596+0000","https://www.inaturalist.org/observations/9345413","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Jack Leonard","9345413",NA,"2018-01-01 8:27:01 PM EST","iNaturalist research-grade observations","1802764377","Observations","1251 Centerville Rd, Wilmington, DE 19808, USA","https://www.inaturalist.org/observations/9345413","5097","9345413","Jack Leonard","https://www.inaturalist.org/observations/9345413","iNaturalist","© Jack Leonard some rights reserved","01:27:01Z","20344479",NA,NA
"30","Accipiter striatus",-102.218373,31.956692,"cdround,gass84","gbif",1806363550,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:36.340+0000","2018-02-15T09:29:13.600+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-27T00:13:42.000+0000",29173,2018,1,26,2018-01-26,"2018-02-04T14:45:23.000+0000","2018-02-15T09:29:13.876+0000","https://www.inaturalist.org/observations/9625721","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Greg Lasley","9625721","Coordinate uncertainty increased to 29173m to protect threatened taxon","2018/01/26 9:39 AM CST","iNaturalist research-grade observations","1806363550","Observations","Texas, US","https://www.inaturalist.org/observations/9625721","5097","9625721","Greg Lasley","https://www.inaturalist.org/observations/9625721","iNaturalist","© Greg Lasley some rights reserved","15:39:00Z","21137968","Saw this Accipiter as it landed in a tree...got a few shots in the tree then several others as it flew away. From the squared off tail and several rapid wing beats between short glides, I think it is Sharp-shinned, but I am not certain.",NA
"31","Accipiter striatus",-122.705509,45.884709,"cdround,gass84","gbif",1802768577,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:25:23.351+0000","2018-01-11T09:17:38.981+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-03T17:08:54.000+0000",27095,2018,1,2,2018-01-02,"2018-01-03T18:03:45.000+0000","2018-02-02T17:13:20.041+0000","https://www.inaturalist.org/observations/9354768","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","kathawk","9354768","Coordinate uncertainty increased to 27095m to protect threatened taxon","2018/01/02 9:23 AM PST","iNaturalist research-grade observations","1802768577","Observations","Washington, US","https://www.inaturalist.org/observations/9354768","5097","9354768","kathawk","https://www.inaturalist.org/observations/9354768","iNaturalist","© kathawk some rights reserved","17:23:00Z","20365148",NA,NA
"32","Accipiter striatus",-121.736801,38.626928,"cdround,gass84","gbif",1805413486,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:08.979+0000","2018-01-25T15:16:46.642+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-18T03:38:15.000+0000",28210,2018,1,16,2018-01-16,"2018-01-18T03:38:15.000+0000","2018-02-02T17:28:58.642+0000","https://www.inaturalist.org/observations/9512875","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Leslie Flint","9512875","Coordinate uncertainty increased to 28210m to protect threatened taxon","2018/01/16 12:28 PM PST","iNaturalist research-grade observations","1805413486","Observations","California, US","https://www.inaturalist.org/observations/9512875","5097","9512875","Leslie Flint","https://www.inaturalist.org/observations/9512875","iNaturalist","© Leslie Flint some rights reserved","20:28:00Z","20845347",NA,NA
"33","Accipiter striatus",-122.586202,37.474854,"cdround,gass84","gbif",1806359027,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:32.761+0000","2018-02-01T17:56:20.263+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-25T20:55:27.000+0000",28388,2018,1,25,2018-01-25,"2018-01-26T02:47:37.000+0000","2018-02-02T17:33:26.259+0000","https://www.inaturalist.org/observations/9613225","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Donna Pomeroy","9613225","Coordinate uncertainty increased to 28388m to protect threatened taxon","2018/01/25 12:38 PM PST","iNaturalist research-grade observations","1806359027","Observations","California, US","https://www.inaturalist.org/observations/9613225","5097","9613225","Donna Pomeroy","https://www.inaturalist.org/observations/9613225","iNaturalist","© Donna Pomeroy some rights reserved","20:38:00Z","21100504",NA,NA
"34","Accipiter striatus",-114.866991,35.991549,"cdround,gass84","gbif",1805418117,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:11.971+0000","2018-02-01T17:55:49.235+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-19T02:42:19.000+0000",28620,2018,1,13,2018-01-13,"2018-01-20T20:56:06.000+0000","2018-02-02T17:29:02.017+0000","https://www.inaturalist.org/observations/9524494","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","BJ Stacey","9524494","Coordinate uncertainty increased to 28620m to protect threatened taxon","2018/01/13 3:23 PM PST","iNaturalist research-grade observations","1805418117","Observations","Clark County, US-NV, US","https://www.inaturalist.org/observations/9524494","5097","9524494","BJ Stacey","https://www.inaturalist.org/observations/9524494","iNaturalist","© BJ Stacey some rights reserved","23:23:00Z","20875788","Clark County, Nevada, US",NA
"35","Accipiter striatus",-74.997974,38.827249,"cdround,gass84","gbif",1806349512,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:25.372+0000","2018-02-01T17:56:08.916+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-23T07:36:37.000+0000",28181,2018,1,21,2018-01-21,"2018-01-24T02:27:40.000+0000","2018-02-02T17:33:13.976+0000","https://www.inaturalist.org/observations/9571939","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Mirko Schoenitz","9571939","Coordinate uncertainty increased to 28181m to protect threatened taxon","2018-01-21 10:02:03","iNaturalist research-grade observations","1806349512","Observations","United States","https://www.inaturalist.org/observations/9571939","5097","9571939","Mirko Schoenitz","https://www.inaturalist.org/observations/9571939","iNaturalist","by Mirko Schoenitz no rights reserved","15:02:03Z","21012349",NA,NA
"36","Accipiter striatus",-101.800809,33.532845,"cdround,gass84","gbif",1805393261,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:25:53.800+0000","2018-03-08T06:55:36.045+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-13T23:21:26.000+0000",28957,2018,1,13,2018-01-13,"2018-03-02T07:15:23.000+0000","2018-03-08T06:55:36.068+0000","https://www.inaturalist.org/observations/9461185","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Lena Zappia","9461185","Coordinate uncertainty increased to 28957m to protect threatened taxon","2018/01/13 12:47 PM CST","iNaturalist research-grade observations","1805393261","Observations","Texas, US","https://www.inaturalist.org/observations/9461185","5097","9461185","Lena Zappia","https://www.inaturalist.org/observations/9461185","iNaturalist","© Lena Zappia some rights reserved","18:47:00Z","20691196","Big.",NA
"37","Accipiter striatus",-98.538452,30.206596,"cdround,gass84","gbif",1805408439,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:05.442+0000","2018-04-23T17:27:25.461+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-16T21:26:49.000+0000",29382,2018,1,16,2018-01-16,"2018-04-20T03:37:44.000+0000","2018-04-23T17:27:25.473+0000","https://www.inaturalist.org/observations/9499861","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","duckswim2","9499861","Coordinate uncertainty increased to 29382m to protect threatened taxon","2018/01/16 1:42 PM CST","iNaturalist research-grade observations","1805408439","Observations","Texas, US","https://www.inaturalist.org/observations/9499861","5097","9499861","duckswim2","https://www.inaturalist.org/observations/9499861","iNaturalist","© duckswim2 some rights reserved","19:42:00Z","20797523","Almost daily visitor. I almost literally stumbled into this bird this afternoon. Just above my head height. Chowing down on a female Cardinal. She had no problem with me watching as I stood just feet away from her perched in a Mulberry Tree. Last photo shows distended crop after meal. Temperature near 32 degrees Fahrenheit. We rose above freezing for a couple of hours today, above forecast of 29F.",NA
"38","Accipiter striatus",-97.231475,32.590125,"cdround,gass84","gbif",1802765218,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:25:20.977+0000","2018-01-11T09:17:24.605+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-02T21:47:48.000+0000",29093,2018,1,2,2018-01-02,"2018-01-04T04:56:00.000+0000","2018-02-02T17:13:15.291+0000","https://www.inaturalist.org/observations/9347520","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","Missy McAllister Kerr","9347520","Coordinate uncertainty increased to 29093m to protect threatened taxon","2018/01/02 2:50 PM CST","iNaturalist research-grade observations","1802765218","Observations","Texas, US","https://www.inaturalist.org/observations/9347520","5097","9347520","Missy McAllister Kerr","https://www.inaturalist.org/observations/9347520","iNaturalist","© Missy McAllister Kerr some rights reserved","20:50:00Z","20341443",NA,NA
"39","Accipiter striatus",-121.985106,37.379922,"cdround,gass84","gbif",1806346845,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2018-05-09T03:26:23.345+0000","2018-02-01T17:56:06.108+0000",110,"HUMAN_OBSERVATION",9600371,1,44,212,7191147,2877,9405810,"Accipiter striatus Vieillot, 1897","Animalia","Chordata","Accipitriformes","Accipitridae","Accipiter","Accipiter","striatus","SPECIES","2018-01-22T20:01:25.000+0000",28417,2018,1,22,2018-01-22,"2018-01-27T11:35:47.000+0000","2018-02-02T17:33:10.101+0000","https://www.inaturalist.org/observations/9564925","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Aves","US","United States","edward_rooks","9564925","Coordinate uncertainty increased to 28417m to protect threatened taxon","2018/01/22 12:27 PM PST","iNaturalist research-grade observations","1806346845","Observations","Santa Clara County, US-CA, US","https://www.inaturalist.org/observations/9564925","5097","9564925","edward_rooks","https://www.inaturalist.org/observations/9564925","iNaturalist","© edward_rooks some rights reserved","20:27:00Z","20993990","Checking out my backyard bird feeders.",NA
